candidate_joborder_status_history_id,candidate_id,joborder_id,date,status_from,status_to,date_modified
1,1,1,2022-10-02 11:45:46,0,400,2022-10-02 11:45:46
2,2,1,2022-10-03 15:33:43,0,400,2022-10-03 15:33:43
3,3,3,2022-10-03 09:54:13,0,400,2022-10-03 09:54:13
4,4,4,2022-10-03 17:24:30,0,400,2022-10-03 17:24:30
5,1,5,2022-10-03 12:29:27,0,400,2022-10-03 12:29:27
6,5,8,2022-10-03 17:25:45,0,400,2022-10-03 17:25:45
7,6,8,2022-10-03 10:00:22,0,400,2022-10-03 10:00:22
8,7,4,2022-10-04 10:49:53,0,400,2022-10-04 10:49:53
9,8,6,2022-10-04 11:22:29,0,400,2022-10-04 11:22:29
10,4,6,2022-10-04 08:02:54,0,400,2022-10-04 08:02:54
11,5,9,2022-10-04 08:36:01,0,400,2022-10-04 08:36:01
12,9,10,2022-10-04 13:41:24,0,400,2022-10-04 13:41:24
13,10,4,2022-10-05 14:55:21,0,400,2022-10-05 14:55:21
14,11,5,2022-10-05 16:01:41,0,400,2022-10-05 16:01:41
15,10,9,2022-10-05 08:19:52,0,400,2022-10-05 08:19:52
16,12,9,2022-10-05 16:49:34,0,400,2022-10-05 16:49:34
17,13,11,2022-10-05 14:49:49,0,400,2022-10-05 14:49:49
18,14,11,2022-10-05 14:56:17,0,400,2022-10-05 14:56:17
19,15,13,2022-10-05 10:50:49,0,400,2022-10-05 10:50:49
20,16,14,2022-10-05 08:48:49,0,400,2022-10-05 08:48:49
21,17,1,2022-10-06 16:34:14,0,400,2022-10-06 16:34:14
22,18,2,2022-10-06 17:42:59,0,400,2022-10-06 17:42:59
23,19,3,2022-10-06 15:14:48,0,400,2022-10-06 15:14:48
24,20,3,2022-10-06 16:26:59,0,400,2022-10-06 16:26:59
25,4,4,2022-10-06 11:49:49,400,675,2022-10-06 11:49:49
26,12,4,2022-10-06 11:03:08,0,400,2022-10-06 11:03:08
27,6,7,2022-10-06 08:38:09,0,400,2022-10-06 08:38:09
28,17,7,2022-10-06 16:08:46,0,400,2022-10-06 16:08:46
29,1,12,2022-10-06 08:01:07,0,400,2022-10-06 08:01:07
30,21,12,2022-10-06 13:53:40,0,400,2022-10-06 13:53:40
31,22,3,2022-10-07 18:30:46,0,400,2022-10-07 18:30:46
32,20,5,2022-10-07 10:52:33,0,400,2022-10-07 10:52:33
33,23,5,2022-10-07 16:48:15,0,400,2022-10-07 16:48:15
34,24,7,2022-10-07 16:57:16,0,400,2022-10-07 16:57:16
35,20,7,2022-10-07 12:14:49,0,400,2022-10-07 12:14:49
36,25,9,2022-10-07 12:04:35,0,400,2022-10-07 12:04:35
37,26,10,2022-10-07 11:54:55,0,400,2022-10-07 11:54:55
38,10,10,2022-10-07 11:19:26,0,400,2022-10-07 11:19:26
39,27,12,2022-10-07 15:30:51,0,400,2022-10-07 15:30:51
40,1,13,2022-10-07 11:58:09,0,400,2022-10-07 11:58:09
41,28,17,2022-10-07 11:03:03,0,400,2022-10-07 11:03:03
42,2,1,2022-10-08 10:12:58,400,650,2022-10-08 10:12:58
43,29,1,2022-10-08 16:58:49,0,400,2022-10-08 16:58:49
44,30,4,2022-10-08 09:36:44,0,400,2022-10-08 09:36:44
45,31,4,2022-10-08 12:09:34,0,400,2022-10-08 12:09:34
46,32,6,2022-10-08 11:22:01,0,400,2022-10-08 11:22:01
47,10,9,2022-10-08 12:08:03,400,500,2022-10-08 12:08:03
48,33,12,2022-10-08 09:45:58,0,400,2022-10-08 09:45:58
49,16,14,2022-10-08 12:31:50,400,500,2022-10-08 12:31:50
50,22,14,2022-10-08 14:03:01,0,400,2022-10-08 14:03:01
51,34,15,2022-10-08 10:53:45,0,400,2022-10-08 10:53:45
52,35,18,2022-10-08 08:43:17,0,400,2022-10-08 08:43:17
53,36,20,2022-10-08 18:15:29,0,400,2022-10-08 18:15:29
54,37,21,2022-10-08 08:48:10,0,400,2022-10-08 08:48:10
55,31,21,2022-10-08 15:26:22,0,400,2022-10-08 15:26:22
56,18,23,2022-10-08 16:19:16,0,400,2022-10-08 16:19:16
57,38,24,2022-10-08 13:35:23,0,400,2022-10-08 13:35:23
58,39,25,2022-10-08 14:33:38,0,400,2022-10-08 14:33:38
59,40,26,2022-10-08 09:38:03,0,400,2022-10-08 09:38:03
60,41,26,2022-10-08 13:42:09,0,400,2022-10-08 13:42:09
61,42,28,2022-10-08 15:29:09,0,400,2022-10-08 15:29:09
62,36,30,2022-10-08 11:34:02,0,400,2022-10-08 11:34:02
63,43,1,2022-10-09 17:47:43,0,400,2022-10-09 17:47:43
64,44,3,2022-10-09 11:17:09,0,400,2022-10-09 11:17:09
65,45,3,2022-10-09 14:57:53,0,400,2022-10-09 14:57:53
66,7,4,2022-10-09 10:06:29,400,500,2022-10-09 10:06:29
67,46,7,2022-10-09 15:06:56,0,400,2022-10-09 15:06:56
68,5,9,2022-10-09 12:19:16,400,650,2022-10-09 12:19:16
69,9,10,2022-10-09 13:41:13,400,700,2022-10-09 13:41:13
70,47,10,2022-10-09 17:53:39,0,400,2022-10-09 17:53:39
71,15,13,2022-10-09 16:16:28,400,700,2022-10-09 16:16:28
72,48,13,2022-10-09 09:57:37,0,400,2022-10-09 09:57:37
73,25,14,2022-10-09 12:31:54,0,400,2022-10-09 12:31:54
74,49,16,2022-10-09 10:08:50,0,400,2022-10-09 10:08:50
75,50,17,2022-10-09 16:38:37,0,400,2022-10-09 16:38:37
76,51,18,2022-10-09 13:32:23,0,400,2022-10-09 13:32:23
77,52,20,2022-10-09 09:35:28,0,400,2022-10-09 09:35:28
78,53,20,2022-10-09 14:01:26,0,400,2022-10-09 14:01:26
79,54,22,2022-10-09 18:16:53,0,400,2022-10-09 18:16:53
80,55,22,2022-10-09 10:34:51,0,400,2022-10-09 10:34:51
81,56,24,2022-10-09 16:13:27,0,400,2022-10-09 16:13:27
82,48,24,2022-10-09 12:46:19,0,400,2022-10-09 12:46:19
83,57,29,2022-10-09 13:48:51,0,400,2022-10-09 13:48:51
84,58,29,2022-10-09 09:39:34,0,400,2022-10-09 09:39:34
85,59,30,2022-10-09 09:57:21,0,400,2022-10-09 09:57:21
86,60,34,2022-10-09 11:10:47,0,400,2022-10-09 11:10:47
87,61,35,2022-10-09 08:34:44,0,400,2022-10-09 08:34:44
88,62,36,2022-10-09 15:07:58,0,400,2022-10-09 15:07:58
89,63,36,2022-10-09 10:30:17,0,400,2022-10-09 10:30:17
90,64,37,2022-10-09 08:16:15,0,400,2022-10-09 08:16:15
91,65,39,2022-10-09 10:53:48,0,400,2022-10-09 10:53:48
92,12,39,2022-10-09 09:03:22,0,400,2022-10-09 09:03:22
93,1,1,2022-10-10 15:39:46,400,500,2022-10-10 15:39:46
94,66,2,2022-10-10 08:57:12,0,400,2022-10-10 08:57:12
95,19,3,2022-10-10 09:52:48,400,500,2022-10-10 09:52:48
96,67,4,2022-10-10 12:40:44,0,400,2022-10-10 12:40:44
97,68,5,2022-10-10 14:25:57,0,400,2022-10-10 14:25:57
98,69,5,2022-10-10 12:55:31,0,400,2022-10-10 12:55:31
99,70,7,2022-10-10 15:42:58,0,400,2022-10-10 15:42:58
100,71,9,2022-10-10 11:41:30,0,400,2022-10-10 11:41:30
101,11,10,2022-10-10 17:41:05,0,400,2022-10-10 17:41:05
102,1,13,2022-10-10 15:31:37,400,500,2022-10-10 15:31:37
103,72,13,2022-10-10 11:53:54,0,400,2022-10-10 11:53:54
104,73,13,2022-10-10 12:15:53,0,400,2022-10-10 12:15:53
105,74,14,2022-10-10 11:27:03,0,400,2022-10-10 11:27:03
106,75,14,2022-10-10 09:16:16,0,400,2022-10-10 09:16:16
107,76,17,2022-10-10 13:20:08,0,400,2022-10-10 13:20:08
108,77,18,2022-10-10 09:46:05,0,400,2022-10-10 09:46:05
109,61,18,2022-10-10 09:36:20,0,400,2022-10-10 09:36:20
110,78,19,2022-10-10 18:53:57,0,400,2022-10-10 18:53:57
111,79,20,2022-10-10 13:22:17,0,400,2022-10-10 13:22:17
112,80,21,2022-10-10 09:54:24,0,400,2022-10-10 09:54:24
113,81,22,2022-10-10 14:33:39,0,400,2022-10-10 14:33:39
114,54,27,2022-10-10 08:48:44,0,400,2022-10-10 08:48:44
115,82,28,2022-10-10 15:57:51,0,400,2022-10-10 15:57:51
116,83,29,2022-10-10 12:47:29,0,400,2022-10-10 12:47:29
117,84,30,2022-10-10 12:27:47,0,400,2022-10-10 12:27:47
118,85,31,2022-10-10 12:36:11,0,400,2022-10-10 12:36:11
119,86,36,2022-10-10 12:49:34,0,400,2022-10-10 12:49:34
120,87,36,2022-10-10 08:31:00,0,400,2022-10-10 08:31:00
121,88,37,2022-10-10 16:08:19,0,400,2022-10-10 16:08:19
122,89,38,2022-10-10 16:22:16,0,400,2022-10-10 16:22:16
123,90,39,2022-10-10 15:32:34,0,400,2022-10-10 15:32:34
124,91,40,2022-10-10 12:05:31,0,400,2022-10-10 12:05:31
125,92,41,2022-10-10 11:02:24,0,400,2022-10-10 11:02:24
126,46,2,2022-10-11 10:27:11,0,400,2022-10-11 10:27:11
127,93,6,2022-10-11 18:13:31,0,400,2022-10-11 18:13:31
128,24,7,2022-10-11 17:33:53,400,675,2022-10-11 17:33:53
129,48,7,2022-10-11 10:08:05,0,400,2022-10-11 10:08:05
130,6,8,2022-10-11 12:53:31,400,700,2022-10-11 12:53:31
131,94,9,2022-10-11 16:45:22,0,400,2022-10-11 16:45:22
132,95,9,2022-10-11 16:18:56,0,400,2022-10-11 16:18:56
133,96,10,2022-10-11 08:02:37,0,400,2022-10-11 08:02:37
134,97,11,2022-10-11 16:36:57,0,400,2022-10-11 16:36:57
135,98,12,2022-10-11 11:33:47,0,400,2022-10-11 11:33:47
136,65,12,2022-10-11 13:06:55,0,400,2022-10-11 13:06:55
137,46,13,2022-10-11 10:24:23,0,400,2022-10-11 10:24:23
138,99,13,2022-10-11 14:38:25,0,400,2022-10-11 14:38:25
139,100,13,2022-10-11 12:09:31,0,400,2022-10-11 12:09:31
140,101,14,2022-10-11 14:06:25,0,400,2022-10-11 14:06:25
141,34,15,2022-10-11 08:31:18,400,675,2022-10-11 08:31:18
142,102,15,2022-10-11 14:52:47,0,400,2022-10-11 14:52:47
143,103,16,2022-10-11 13:03:23,0,400,2022-10-11 13:03:23
144,104,16,2022-10-11 10:37:15,0,400,2022-10-11 10:37:15
145,35,18,2022-10-11 12:05:57,400,500,2022-10-11 12:05:57
146,105,19,2022-10-11 08:43:44,0,400,2022-10-11 08:43:44
147,56,22,2022-10-11 12:45:24,0,400,2022-10-11 12:45:24
148,106,27,2022-10-11 17:42:37,0,400,2022-10-11 17:42:37
149,107,27,2022-10-11 12:59:28,0,400,2022-10-11 12:59:28
150,108,29,2022-10-11 15:33:52,0,400,2022-10-11 15:33:52
151,109,34,2022-10-11 11:24:10,0,400,2022-10-11 11:24:10
152,110,36,2022-10-11 17:55:56,0,400,2022-10-11 17:55:56
153,111,36,2022-10-11 18:34:26,0,400,2022-10-11 18:34:26
154,112,38,2022-10-11 14:42:01,0,400,2022-10-11 14:42:01
155,9,40,2022-10-11 09:43:31,0,400,2022-10-11 09:43:31
156,113,42,2022-10-11 16:11:12,0,400,2022-10-11 16:11:12
157,114,43,2022-10-11 17:19:17,0,400,2022-10-11 17:19:17
158,115,1,2022-10-12 10:08:23,0,400,2022-10-12 10:08:23
159,46522,1,2022-10-12 16:38:48,0,400,2022-10-12 16:38:48
160,1,5,2022-10-12 12:27:20,400,700,2022-10-12 12:27:20
161,4,6,2022-10-12 11:13:49,400,700,2022-10-12 11:13:49
162,46,7,2022-10-12 12:30:25,400,675,2022-10-12 12:30:25
