company_id,name,city,country,owner,date_created,date_modified,industry,sub_sector
1,Ashdown Gate Retail Ltd,Manchester,GB,1,2022-04-09 14:53:02,2026-09-12 08:36:22,Commerce & Industry,Energy & Infrastructure
2,Upfield Park Payments Ltd,Manchester,GB,1,2021-10-05 11:39:20,2026-09-12 11:42:46,Financial Services,Asset & Wealth Management
3,Ivybridge Gate Assurance Ltd,Manchester,GB,1,2022-04-29 14:25:36,2026-09-11 16:18:00,Insurance,Health
4,Pembury Park Bank Ltd,Manchester,GB,1,2022-08-25 13:50:55,2026-09-11 14:27:29,Financial Services,Asset & Wealth Management
5,Yarrow Park Insurance Ltd,Manchester,GB,1,2022-04-10 10:27:21,2026-08-11 13:21:01,Insurance,Health
6,Northcote Bank Ltd,Manchester,GB,1,2022-06-18 18:07:07,2026-09-12 15:29:03,Financial Services,Payments & Fintech
7,Bexmoor Bay Bank Ltd,Manchester,GB,1,2022-06-20 11:59:15,2026-05-28 14:55:37,Financial Services,Banking
8,Larkspur Park Partners Ltd,Manchester,GB,1,2021-10-26 18:15:27,2026-09-07 09:00:23,Professional Services,Consulting
9,Westbrook Hill Mutual Ltd,Manchester,GB,1,2022-07-14 18:15:35,2026-08-22 09:16:58,Insurance,Life & Pensions
10,Marlowe Vale Solutions Ltd,Manchester,GB,1,2022-10-07 12:49:13,2026-07-04 15:17:20,Professional Services,Legal & Advisory
11,Larkspur Mutual Ltd,Manchester,GB,1,2023-08-27 17:42:46,2026-09-07 11:36:22,Insurance,Life & Pensions
12,Glenmoor Capital Ltd,Manchester,GB,1,2022-05-26 11:39:41,2026-06-17 16:47:30,Financial Services,Asset & Wealth Management
13,Ashdown Park Mutual Ltd,Manchester,GB,1,2022-05-19 18:28:23,2026-07-24 11:04:19,Insurance,Life & Pensions
14,Greywell Hill Re Ltd,Manchester,GB,1,2021-11-26 09:08:00,2026-09-12 13:15:44,Insurance,Life & Pensions
15,Eastleigh Gate Advisory Ltd,Manchester,GB,1,2022-08-13 11:12:39,2026-07-27 17:29:38,Professional Services,Actuarial Consulting
16,Larkspur Gate Assurance Ltd,Manchester,GB,1,2024-08-06 16:38:32,2026-05-30 08:56:27,Insurance,Life & Pensions
17,Kestrel Vale Bank Ltd,Manchester,GB,1,2022-05-26 14:22:17,2026-07-15 18:42:31,Financial Services,Banking
18,Elmstead Bank Ltd,Manchester,GB,1,2022-11-20 13:03:00,2026-09-12 18:23:14,Financial Services,Asset & Wealth Management
19,Ivybridge Bay Advisory Ltd,Manchester,GB,1,2021-12-05 09:58:26,2026-09-04 11:04:42,Professional Services,Consulting
20,Kestrel Park Underwriting Ltd,Manchester,GB,1,2022-06-22 10:16:44,2026-07-04 09:23:58,Insurance,Life & Pensions
21,Valemont Bay Consulting Ltd,Manchester,GB,1,2022-12-24 12:36:24,2026-04-20 18:18:10,Professional Services,Actuarial Consulting
22,Redfern Consulting Ltd,Manchester,GB,1,2022-11-16 17:33:18,2026-04-01 18:19:13,Professional Services,Consulting
23,Westbrook Partners Ltd,Manchester,GB,1,2022-05-10 08:06:28,2026-07-01 17:19:55,Professional Services,Legal & Advisory
24,Yarrow Vale Partners Ltd,Manchester,GB,1,2022-05-06 14:13:09,2026-04-13 10:29:22,Professional Services,Consulting
25,Fernbrook Hill Assurance Ltd,Manchester,GB,1,2023-05-26 18:07:40,2026-03-01 11:34:08,Insurance,Life & Pensions
26,Fernbrook Vale Underwriting Ltd,Manchester,GB,1,2022-11-16 09:04:42,2026-03-29 08:07:40,Insurance,Life & Pensions
27,Quayside Assurance Ltd,Manchester,GB,1,2022-06-25 17:11:42,2026-02-21 16:01:33,Insurance,General Insurance
28,Yarrow Capital Ltd,Manchester,GB,1,2022-11-20 18:39:46,2026-04-25 16:17:22,Financial Services,Banking
29,Marlowe Energy Ltd,Manchester,GB,1,2022-11-27 18:30:20,2026-05-09 10:43:52,Commerce & Industry,Industrials
30,Glenmoor Bay Mutual Ltd,Manchester,GB,1,2022-03-29 10:18:26,2026-09-12 17:36:25,Insurance,General Insurance
31,Glenmoor Technologies Ltd,Manchester,GB,1,2022-06-18 17:01:15,2026-01-05 10:37:55,Commerce & Industry,Consumer
32,Harlow Partners Ltd,Manchester,GB,1,2021-11-07 10:05:49,2025-07-30 11:25:09,Professional Services,Legal & Advisory
33,Calderwood Hill Industries Ltd,Manchester,GB,1,2023-11-21 10:52:28,2026-04-15 12:00:47,Commerce & Industry,Consumer
34,Westbrook Park Energy Ltd,Manchester,GB,1,2022-08-25 09:28:51,2026-09-09 15:05:50,Commerce & Industry,Technology
35,Kestrel Hill Industries Ltd,Manchester,GB,1,2022-03-08 13:02:15,2026-08-03 15:26:47,Commerce & Industry,Energy & Infrastructure
36,Yarrow Gate Mutual Ltd,Manchester,GB,1,2022-08-21 18:58:22,2026-08-09 16:06:30,Insurance,Life & Pensions
37,Ashdown Payments Ltd,Manchester,GB,1,2022-03-20 15:55:39,2026-05-11 08:15:37,Financial Services,Payments & Fintech
38,Larkspur Underwriting Ltd,Manchester,GB,1,2022-11-08 18:31:13,2025-08-16 09:17:13,Insurance,General Insurance
39,Dunmore Hill Insurance Ltd,Manchester,GB,1,2022-06-15 12:11:59,2026-05-01 13:17:03,Insurance,General Insurance
40,Marlowe Underwriting Ltd,Manchester,GB,1,2023-05-25 17:46:29,2025-06-21 09:52:23,Insurance,General Insurance
41,Thornbury Vale Underwriting Ltd,Manchester,GB,1,2022-08-09 11:29:34,2026-05-02 10:40:39,Insurance,Life & Pensions
42,Yarrow Gate Re Ltd,Manchester,GB,1,2023-08-21 08:35:13,2025-08-09 14:06:39,Insurance,General Insurance
43,Fernbrook Consulting Ltd,Manchester,GB,1,2022-04-11 13:03:26,2026-05-04 12:14:04,Professional Services,Actuarial Consulting
44,Quayside Bridge Industries Ltd,Manchester,GB,1,2022-07-04 13:31:02,2026-09-04 17:58:08,Commerce & Industry,Technology
45,Northcote Hill Wealth Ltd,Manchester,GB,1,2023-08-19 12:04:56,2025-11-27 14:03:29,Financial Services,Payments & Fintech
46,Redfern Asset Management Ltd,Manchester,GB,1,2022-03-28 15:20:58,2025-06-25 18:33:25,Financial Services,Banking
47,Valemont Vale Partners Ltd,Manchester,GB,1,2024-06-04 13:04:54,2026-06-12 12:06:42,Professional Services,Consulting
48,Valemont Gate Payments Ltd,Manchester,GB,1,2024-01-08 11:40:37,2026-06-04 09:09:46,Financial Services,Banking
49,Kestrel Park Insurance Ltd,Manchester,GB,1,2023-05-06 11:44:07,2026-08-26 13:53:05,Insurance,General Insurance
50,Greywell Park Wealth Ltd,Manchester,GB,1,2021-12-21 12:50:11,2025-09-01 13:52:44,Financial Services,Banking
51,Brackley Vale Underwriting Ltd,Manchester,GB,1,2022-09-22 09:18:05,2026-09-12 18:59:03,Insurance,Health
52,Aldwick Gate Mutual Ltd,Manchester,GB,1,2022-09-17 09:50:53,2026-08-12 11:11:50,Insurance,Life & Pensions
53,Calderwood Bay Wealth Ltd,Manchester,GB,1,2024-03-23 11:46:49,2026-08-05 14:34:20,Financial Services,Payments & Fintech
54,Elmstead Bay Mutual Ltd,Manchester,GB,1,2024-04-09 17:53:47,2026-01-03 14:34:06,Insurance,Life & Pensions
55,Ashdown Vale Industries Ltd,Manchester,GB,1,2022-06-17 12:48:56,2026-09-10 14:44:08,Commerce & Industry,Industrials
56,Thornbury Gate Solutions Ltd,Manchester,GB,1,2022-08-21 13:34:03,2026-09-11 10:55:35,Professional Services,Consulting
57,Redfern Industries Ltd,Manchester,GB,1,2023-04-30 16:58:20,2026-04-13 13:25:03,Commerce & Industry,Consumer
58,Cresswell Asset Management Ltd,Manchester,GB,1,2024-01-18 12:39:49,2026-05-12 10:26:41,Financial Services,Banking
59,Ashdown Park Solutions Ltd,Manchester,GB,1,2022-08-26 10:25:46,2026-09-05 11:49:14,Professional Services,Legal & Advisory
