joborder_id,company_id,recruiter,owner,title,type,salary,status,city,country,openings,start_date,date_created,date_modified,discipline,work_arrangement,owning_office
1,44,13,13,Senior Property Underwriter,H,GBP 80k,Full,Manchester,GB,1,2022-11-30 15:23:29,2022-10-01 10:14:20,2022-11-17 14:50:25,"Underwriting, Broking & Claims",Hybrid,Manchester
2,467,92,92,Senior Capital Modelling Actuary,H,€110k - €131k,Full,Brussels,BE,1,2022-11-30 12:50:35,2022-10-01 12:59:45,2022-11-18 13:01:01,Actuarial,Hybrid,Brussels
3,558,125,125,Senior Claims Manager,H,74000,Full,Paris,FR,1,2022-11-30 11:56:42,2022-10-01 13:34:02,2022-11-10 08:05:26,"Underwriting, Broking & Claims",Hybrid,Paris
4,714,146,146,Senior Operational Risk Manager,H,136000,Full,New York,US,1,,2022-10-01 09:27:10,2022-11-03 09:48:54,Risk & Compliance,Hybrid,New York
5,712,147,147,Programme Director,H,96000,Full,New York,US,1,2022-11-30 15:31:30,2022-10-01 18:52:17,2022-11-25 15:46:13,Transformation & Change,Office,New York
6,59,2,2,Head of Pricing,H,66000,Full,Manchester,GB,1,,2022-10-02 14:40:36,2022-11-17 11:14:16,Actuarial,Hybrid,Manchester
7,245,39,37,Senior Programme Director,H,79000,Closed,London,GB,1,,2022-10-02 13:20:40,2022-11-03 13:37:05,Transformation & Change,Office,London
8,773,150,150,Financial Controller,H,USD 114k,Full,New York,US,1,,2022-10-02 08:14:01,2022-11-22 11:56:23,"Accountancy, Finance & Audit",Office,New York
9,919,198,194,Product Owner,H,"154,000",Full,Singapore,SG,1,2022-12-01 08:42:33,2022-10-02 17:16:02,2022-11-06 16:48:04,Transformation & Change,Hybrid,Singapore
10,900,185,185,Tax Manager,H,652000,Full,Hong Kong,HK,1,2022-12-02 09:55:42,2022-10-03 09:25:07,2022-11-05 10:52:58,"Accountancy, Finance & Audit",Hybrid,Hong Kong
11,200,32,32,In-house Counsel,H,£92k - £112k,Full,London,GB,1,,2022-10-04 08:34:41,2022-11-16 11:53:33,Legal,Hybrid,London
12,189,51,51,Senior Business Analyst,H,£72k - £83k,Full,London,GB,1,2022-12-03 18:32:11,2022-10-04 14:45:47,2022-11-08 13:20:19,Transformation & Change,Office,London
13,549,109,109,Programme Director,H,€66k - €80k,Closed,Paris,FR,2,2022-12-03 11:38:06,2022-10-04 17:56:23,2022-11-09 09:08:26,Transformation & Change,Hybrid,Paris
14,957,196,196,Project Manager,H,S$145k - S$174k,Closed,Singapore,SG,3,2022-12-03 14:08:13,2022-10-04 16:53:35,2022-11-12 15:47:25,Transformation & Change,Hybrid,Singapore
15,432,79,79,Change Manager,H,"83,000",Closed,Amsterdam,NL,1,2022-12-04 12:23:39,2022-10-05 16:24:42,2022-10-29 09:39:53,Transformation & Change,Hybrid,Amsterdam
16,262,58,55,Reserving Actuary,H,92000,Full,London,GB,1,2022-12-05 15:44:29,2022-10-06 08:35:50,2022-11-23 12:42:01,Actuarial,Hybrid,London
17,367,68,68,Operational Risk Manager,H,"78,000",Full,Dublin,IE,1,,2022-10-06 17:45:34,2022-11-12 08:42:19,Risk & Compliance,Hybrid,Dublin
18,335,74,73,Senior FP&A Analyst,H,€47k - €53k,Closed,Dublin,IE,1,2022-12-05 11:16:20,2022-10-06 11:56:53,2022-10-26 17:07:25,"Accountancy, Finance & Audit",Remote,Dublin
19,548,125,121,Claims Manager,H,EUR 93k,OnHold,Paris,FR,2,2022-12-05 11:57:23,2022-10-06 15:10:03,2022-11-03 12:10:26,"Underwriting, Broking & Claims",Remote,Paris
20,627,141,141,Product Owner,H,129000,Closed,Zurich,CH,1,2022-12-05 14:39:01,2022-10-06 08:02:58,2022-11-11 17:55:02,Transformation & Change,Office,Zurich
21,710,160,158,BI Developer,H,$138k - $169k,Full,New York,US,1,2022-12-05 10:11:03,2022-10-06 18:48:31,2022-11-06 10:14:38,Technology,Hybrid,New York
22,712,162,162,Head of Compliance,H,111000,Full,New York,US,1,2022-12-05 15:56:56,2022-10-06 12:55:18,2022-11-26 08:11:01,Risk & Compliance,Hybrid,New York
23,332,30,30,Paralegal,H,"86,000",Full,London,GB,1,2022-12-06 10:20:27,2022-10-07 16:16:24,2022-12-03 10:53:24,Legal,Office,London
24,210,41,37,Compliance Officer,H,78000,Closed,London,GB,2,2022-12-06 09:58:28,2022-10-07 15:04:59,2022-11-04 16:50:40,Risk & Compliance,Hybrid,London
25,176,59,59,Senior Capital Modelling Actuary,H,"102,000",Closed,London,GB,3,,2022-10-07 16:56:40,2022-11-04 10:26:10,Actuarial,Hybrid,London
26,424,81,79,Product Owner,H,€64k - €78k,Full,Amsterdam,NL,1,2022-12-06 17:38:25,2022-10-07 15:55:28,2022-11-11 17:26:20,Transformation & Change,Remote,Amsterdam
27,459,82,82,Project Manager,H,€63k - €70k,Full,Amsterdam,NL,1,2022-12-06 09:23:02,2022-10-07 12:33:32,2022-11-26 14:02:38,Transformation & Change,Office,Amsterdam
28,503,97,97,Senior Account Executive,H,€43k - €50k,Full,Madrid,ES,1,2022-12-06 12:49:29,2022-10-07 16:35:20,2022-11-01 11:32:25,"Underwriting, Broking & Claims",Hybrid,Madrid
29,713,151,146,Senior Project Manager,H,$116k - $132k,Closed,New York,US,2,2022-12-06 11:24:09,2022-10-07 12:37:52,2022-10-25 10:46:14,Transformation & Change,Hybrid,New York
30,758,158,158,Cloud Architect,H,USD 127k,Full,New York,US,1,2022-12-06 15:50:24,2022-10-07 17:21:28,2022-11-16 12:53:06,Technology,Remote,New York
31,55,4,4,Senior Actuarial Analyst,H,£93k - £103k,Full,Manchester,GB,1,2022-12-07 12:56:14,2022-10-08 12:48:29,2022-11-27 10:26:02,Actuarial,Hybrid,Manchester
32,8,7,7,Management Accountant,H,£41k - £50k,Full,Manchester,GB,1,2022-12-07 13:22:59,2022-10-08 10:03:09,2022-11-09 10:58:17,"Accountancy, Finance & Audit",Remote,Manchester
33,20,8,6,Senior Management Accountant,H,"46,000",Closed,Manchester,GB,1,2022-12-07 13:02:59,2022-10-08 08:59:17,2022-11-03 13:55:27,"Accountancy, Finance & Audit",Hybrid,Manchester
34,51,9,9,In-house Counsel,H,£98k - £118k,Full,Manchester,GB,1,,2022-10-08 08:50:55,2022-12-05 16:27:20,Legal,Hybrid,Manchester
35,168,31,31,Senior Regulatory Lawyer,H,"124,000",Closed,London,GB,1,,2022-10-08 09:36:37,2022-11-09 14:57:22,Legal,Office,London
36,219,50,50,Change Manager,H,"88,000",Full,London,GB,1,,2022-10-08 09:24:32,2022-11-06 11:22:52,Transformation & Change,Remote,London
37,465,90,90,Pricing Actuary,H,83000,Full,Brussels,BE,1,2022-12-07 18:19:57,2022-10-08 13:35:22,2022-12-04 15:01:31,Actuarial,Office,Brussels
38,680,140,140,Senior Change Manager,H,CHF 90k - CHF 99k,Closed,Zurich,CH,3,2022-12-07 09:40:07,2022-10-08 15:08:43,2022-11-07 18:40:30,Transformation & Change,Hybrid,Zurich
39,962,209,209,Product Owner,H,214000,Closed,Kuala Lumpur,MY,1,,2022-10-08 17:27:19,2022-11-29 16:52:35,Transformation & Change,Office,Malaysia
40,50,2,2,Head of Pricing,H,"88,000",Full,Manchester,GB,1,,2022-10-09 12:37:23,2022-11-26 10:28:23,Actuarial,Hybrid,Manchester
41,168,29,29,Senior Commercial Lawyer,H,GBP 118k,Closed,London,GB,1,,2022-10-09 08:12:57,2022-11-02 15:29:11,Legal,Hybrid,London
42,216,49,49,Senior Project Manager,H,86000,Full,London,GB,1,2022-12-08 11:51:27,2022-10-09 15:33:47,2022-11-30 17:49:18,Transformation & Change,Hybrid,London
43,468,88,88,Capital Modelling Actuary,H,"91,000",Full,Brussels,BE,1,,2022-10-09 08:54:21,2022-12-03 18:52:16,Actuarial,Remote,Brussels
44,634,143,143,Product Owner,H,CHF 91k - CHF 109k,Closed,Zurich,CH,1,,2022-10-09 13:23:49,2022-11-03 08:28:35,Transformation & Change,Hybrid,Zurich
45,1,22,22,BI Developer,H,£82k - £91k,Full,Manchester,GB,1,2022-12-09 15:50:07,2022-10-10 16:15:50,2022-12-05 10:00:46,Technology,Hybrid,Manchester
46,336,76,76,Tax Manager,H,€61k - €70k,Full,Dublin,IE,1,2022-12-09 09:11:53,2022-10-10 09:48:06,2022-11-10 08:37:35,"Accountancy, Finance & Audit",Hybrid,Dublin
47,461,92,88,Head of Pricing,H,EUR 97k,OnHold,Brussels,BE,1,2022-12-09 13:53:40,2022-10-10 09:30:06,2022-11-24 09:55:10,Actuarial,Hybrid,Brussels
48,682,142,142,Senior Project Manager,H,CHF 98k - CHF 117k,Full,Zurich,CH,1,2022-12-09 16:26:25,2022-10-10 08:37:03,2022-11-04 12:05:40,Transformation & Change,Remote,Zurich
49,141,21,21,Cloud Architect,H,"63,000",Full,Manchester,GB,1,2022-12-10 17:00:23,2022-10-11 11:53:53,2022-11-20 14:59:28,Technology,Hybrid,Manchester
50,591,126,121,Claims Handler,H,75000,Full,Paris,FR,1,,2022-10-11 15:57:04,2022-11-28 17:36:05,"Underwriting, Broking & Claims",Hybrid,Paris
51,663,134,134,Management Accountant,H,CHF 79k - CHF 90k,Full,Zurich,CH,1,2022-12-10 09:53:12,2022-10-11 10:34:52,2022-11-04 08:47:24,"Accountancy, Finance & Audit",Remote,Zurich
52,276,37,37,Senior Credit Risk Analyst,H,GBP 92k,Full,London,GB,1,2022-12-11 13:26:34,2022-10-12 09:58:33,2022-11-07 16:49:59,Risk & Compliance,Hybrid,London
53,168,56,56,Senior Reserving Actuary,H,£111k - £126k,Closed,London,GB,1,2022-12-11 11:20:44,2022-10-12 11:48:40,2022-11-05 17:14:25,Actuarial,Remote,London
54,491,89,89,Pricing Actuary,H,104000,Full,Brussels,BE,1,,2022-10-12 12:41:34,2022-12-01 13:07:32,Actuarial,Remote,Brussels
55,629,132,132,Internal Auditor,H,CHF 115k - CHF 139k,Closed,Zurich,CH,2,2022-12-11 10:48:20,2022-10-12 10:30:03,2022-11-30 10:21:35,"Accountancy, Finance & Audit",Office,Zurich
56,710,161,158,Senior Software Engineer,H,$148k - $185k,Closed,New York,US,1,2022-12-11 08:40:09,2022-10-12 16:30:46,2022-11-19 15:56:33,Technology,Remote,New York
57,796,165,165,Head of Legal,H,"129,000",Full,New York,US,1,2022-12-11 14:34:56,2022-10-12 11:28:31,2022-11-25 09:25:12,Legal,Remote,New York
58,36,11,11,Cloud Architect,H,70000,OnHold,Manchester,GB,1,2022-12-12 09:52:59,2022-10-13 16:30:37,2022-11-07 14:12:35,Technology,Office,Manchester
59,336,66,66,Senior Casualty Underwriter,H,EUR 67k,Full,Dublin,IE,1,2022-12-12 10:56:52,2022-10-13 14:59:36,2022-11-19 16:41:07,"Underwriting, Broking & Claims",Hybrid,Dublin
60,710,165,165,Head of Legal,H,139000,Closed,New York,US,2,2022-12-12 08:56:05,2022-10-13 15:21:04,2022-11-13 09:08:08,Legal,Hybrid,New York
61,877,182,182,Senior Internal Auditor,H,"686,000",Full,Hong Kong,HK,1,,2022-10-13 12:02:28,2022-11-08 15:56:42,"Accountancy, Finance & Audit",Hybrid,Hong Kong
62,972,211,211,Senior Claims Handler,H,"170,000",Full,Kuala Lumpur,MY,1,2022-12-13 12:14:22,2022-10-14 18:33:17,2022-11-12 16:04:06,"Underwriting, Broking & Claims",Hybrid,Malaysia
63,191,42,42,Credit Risk Analyst,H,86000,Closed,London,GB,1,2022-12-14 11:29:40,2022-10-15 16:46:12,2022-11-16 09:08:17,Risk & Compliance,Office,London
64,366,73,73,FP&A Analyst,H,EUR 78k,Full,Dublin,IE,1,2022-12-14 10:29:00,2022-10-15 14:31:04,2022-11-19 08:17:04,"Accountancy, Finance & Audit",Hybrid,Dublin
65,512,100,100,Paralegal,H,"84,000",Closed,Madrid,ES,1,2022-12-14 11:10:32,2022-10-15 13:12:46,2023-01-05 13:28:41,Legal,Office,Madrid
66,705,139,139,Change Manager,H,"135,000",Closed,Zurich,CH,1,2022-12-14 15:22:55,2022-10-15 16:23:06,2022-11-13 11:57:30,Transformation & Change,Hybrid,Zurich
