user_id,month,target_nfi_gbp,modified_at
1,2023-04,8750,03/04/2023 11:57
1,2023-05,8750,01/04/2023 20:54
1,2023-06,9200,11/04/2023 12:19
1,2023-07,8300,20/04/2023 19:31
1,2023-08,6550,11/04/2023 18:16
1,2023-09,10500,16/04/2023 10:41
1,2023-10,9600,17/04/2023 19:45
1,2023-11,8750,10/04/2023 19:06
1,2023-12,6100,08/04/2023 12:53
1,2024-01,10950,11/04/2023 09:47
1,2024-02,10050,20/04/2023 07:38
1,2024-03,9600,12/04/2023 12:55
1,2024-04,9200,09/04/2024 16:42
1,2024-05,9200,07/04/2024 10:18
1,2024-06,9650,12/04/2024 19:18
1,2024-07,8750,02/04/2024 16:28
1,2024-08,6900,05/04/2024 13:55
1,2024-09,11000,12/04/2024 07:08
1,2024-10,10100,04/04/2024 20:05
1,2024-11,9200,19/04/2024 16:06
1,2024-12,6450,10/04/2024 12:35
1,2025-01,11500,20/04/2024 11:09
1,2025-02,10550,21/04/2024 10:11
1,2025-03,10100,16/04/2024 17:57
1,2025-04,9650,10/04/2025 10:56
1,2025-05,9650,06/04/2025 17:51
1,2025-06,10150,21/04/2025 09:14
1,2025-07,9150,13/04/2025 16:42
1,2025-08,7250,21/04/2025 08:47
1,2025-09,11550,05/04/2025 12:07
1,2025-10,10600,19/04/2025 20:40
1,2025-11,9650,03/04/2025 12:29
1,2025-12,6750,12/04/2025 19:20
1,2026-01,12050,04/04/2025 20:00
1,2026-02,11100,08/04/2025 18:24
1,2026-03,10600,05/04/2025 20:15
1,2026-04,10150,17/04/2026 15:52
1,2026-05,10150,02/04/2026 13:03
1,2026-06,10650,21/04/2026 14:23
1,2026-07,9600,05/04/2026 17:03
1,2026-08,7600,10/04/2026 08:13
1,2026-09,12150,04/04/2026 15:06
2,2023-04,12500,12/04/2023 20:52
2,2023-05,12500,08/04/2023 08:27
2,2023-06,13100,01/04/2023 16:54
2,2023-07,11850,13/04/2023 08:39
2,2023-08,9350,18/04/2023 09:37
2,2023-09,15000,05/04/2023 13:23
2,2023-10,13750,02/04/2023 09:21
2,2023-11,12500,02/04/2023 17:31
2,2023-12,8750,04/04/2023 09:13
2,2024-01,15600,10/04/2023 07:25
2,2024-02,14350,10/04/2023 14:57
2,2024-03,13750,14/04/2023 17:32
2,2024-04,13100,02/04/2024 19:20
2,2024-05,13100,09/04/2024 19:06
2,2024-06,13800,13/04/2024 12:21
2,2024-07,12450,09/04/2024 14:32
2,2024-08,9850,16/04/2024 17:10
2,2024-09,15750,12/04/2024 16:57
2,2024-10,14450,02/04/2024 07:46
2,2024-11,13100,02/04/2024 12:01
2,2024-12,9200,01/04/2024 14:03
2,2025-01,16400,05/04/2024 14:32
2,2025-02,15100,06/04/2024 10:34
2,2025-03,14450,08/04/2024 15:45
2,2025-04,13800,14/04/2025 11:08
2,2025-05,13800,13/04/2025 17:20
2,2025-06,14450,05/04/2025 20:31
2,2025-07,13100,13/04/2025 09:26
2,2025-08,10350,04/04/2025 19:45
2,2025-09,16550,08/04/2025 10:08
2,2025-10,15150,12/04/2025 17:39
2,2025-11,13800,11/04/2025 12:18
2,2025-12,9650,04/04/2025 20:14
2,2026-01,17200,19/04/2025 09:56
2,2026-02,15850,20/04/2025 13:22
2,2026-03,15150,08/04/2025 20:03
2,2026-04,14450,09/04/2026 11:19
2,2026-05,14450,21/04/2026 16:48
2,2026-06,15200,07/04/2026 16:40
2,2026-07,13750,12/04/2026 19:10
2,2026-08,10850,18/04/2026 19:56
2,2026-09,17350,10/04/2026 15:15
3,2023-04,12500,06/04/2023 16:03
3,2023-05,12500,19/04/2023 14:49
3,2023-06,13100,14/04/2023 18:21
3,2023-07,11850,21/04/2023 12:39
3,2023-08,9350,05/04/2023 16:29
3,2023-09,15000,21/04/2023 20:19
3,2023-10,13750,03/04/2023 15:55
3,2023-11,12500,04/04/2023 08:29
3,2023-12,8750,04/04/2023 09:56
3,2024-01,15600,18/04/2023 16:47
3,2024-02,14350,14/04/2023 17:22
3,2024-03,13750,01/04/2023 17:47
3,2024-04,13100,18/04/2024 20:34
3,2024-05,13100,19/04/2024 08:29
3,2024-06,13800,19/04/2024 10:24
3,2024-07,12450,18/04/2024 13:21
3,2024-08,9850,05/04/2024 13:27
3,2024-09,15750,03/04/2024 19:26
3,2024-10,14450,04/04/2024 09:59
3,2024-11,13100,10/04/2024 17:29
3,2024-12,9200,07/04/2024 20:28
3,2025-01,16400,09/04/2024 13:03
3,2025-02,15100,18/04/2024 07:42
3,2025-03,14450,10/04/2024 19:08
3,2025-04,13800,20/04/2025 20:22
3,2025-05,13800,05/04/2025 18:02
3,2025-06,14450,06/04/2025 15:05
3,2025-07,13100,18/04/2025 10:51
3,2025-08,10350,18/04/2025 09:02
3,2025-09,16550,18/04/2025 10:26
3,2025-10,15150,06/04/2025 18:23
3,2025-11,13800,17/04/2025 13:31
3,2025-12,9650,17/04/2025 19:31
3,2026-01,17200,08/04/2025 20:09
3,2026-02,15850,02/04/2025 17:25
3,2026-03,15150,02/04/2025 15:29
3,2026-04,14450,02/04/2026 15:53
3,2026-05,14450,20/04/2026 09:44
3,2026-06,15200,03/04/2026 11:47
3,2026-07,13750,13/04/2026 10:55
3,2026-08,10850,12/04/2026 09:10
3,2026-09,17350,16/04/2026 08:45
4,2023-04,12500,10/04/2023 07:26
4,2023-05,12500,16/04/2023 09:34
4,2023-06,13100,09/04/2023 11:00
4,2023-07,11850,08/04/2023 10:20
4,2023-08,9350,07/04/2023 07:08
4,2023-09,15000,20/04/2023 11:44
4,2023-10,13750,11/04/2023 07:14
4,2023-11,12500,12/04/2023 09:09
4,2023-12,8750,07/04/2023 09:41
4,2024-01,15600,06/04/2023 07:58
4,2024-02,14350,17/04/2023 16:20
4,2024-03,13750,01/04/2023 13:12
4,2024-04,13100,08/04/2024 08:52
4,2024-05,13100,05/04/2024 17:36
4,2024-06,13800,08/04/2024 17:27
4,2024-07,12450,08/04/2024 11:54
4,2024-08,9850,13/04/2024 12:02
4,2024-09,15750,16/04/2024 07:51
4,2024-10,14450,02/04/2024 20:18
4,2024-11,13100,18/04/2024 11:30
4,2024-12,9200,02/04/2024 19:28
4,2025-01,16400,16/04/2024 11:24
4,2025-02,15100,15/04/2024 20:22
4,2025-03,14450,05/04/2024 11:41
4,2025-04,13800,19/04/2025 12:43
4,2025-05,13800,08/04/2025 14:59
4,2025-06,14450,08/04/2025 19:48
4,2025-07,13100,01/04/2025 12:41
4,2025-08,10350,06/04/2025 07:51
4,2025-09,16550,01/04/2025 12:25
4,2025-10,15150,13/04/2025 07:36
4,2025-11,13800,21/04/2025 18:06
4,2025-12,9650,20/04/2025 17:39
4,2026-01,17200,08/04/2025 09:17
4,2026-02,15850,17/04/2025 13:52
4,2026-03,15150,08/04/2025 17:56
4,2026-04,14450,17/04/2026 19:30
4,2026-05,14450,19/04/2026 17:12
4,2026-06,15200,19/04/2026 19:44
4,2026-07,13750,01/04/2026 18:41
4,2026-08,10850,12/04/2026 07:59
4,2026-09,17350,14/04/2026 17:57
5,2024-10,4350,20/04/2024 16:26
5,2024-11,3950,12/04/2024 12:36
5,2024-12,2750,12/04/2024 20:50
5,2025-01,4900,15/04/2024 09:59
5,2025-02,4550,11/04/2024 07:27
5,2025-03,4350,17/04/2024 14:14
5,2025-04,4150,13/04/2025 13:54
5,2025-05,4150,13/04/2025 16:10
5,2025-06,4350,19/04/2025 14:02
5,2025-07,3950,11/04/2025 10:33
5,2025-08,7250,15/04/2025 16:36
5,2025-09,11550,18/04/2025 08:31
5,2025-10,10600,11/04/2025 18:07
5,2025-11,9650,01/04/2025 13:58
5,2025-12,6750,01/04/2025 20:16
5,2026-01,12050,18/04/2025 13:06
5,2026-02,15850,20/04/2025 19:43
5,2026-03,15150,04/04/2025 13:46
5,2026-04,14450,05/04/2026 19:32
5,2026-05,14450,15/04/2026 10:52
5,2026-06,15200,19/04/2026 18:13
5,2026-07,13750,13/04/2026 11:00
5,2026-08,10850,09/04/2026 07:00
5,2026-09,17350,06/04/2026 08:34
6,2023-04,6500,20/04/2023 14:07
6,2023-05,6500,06/04/2023 13:25
6,2023-06,6800,07/04/2023 16:52
6,2023-07,6150,10/04/2023 13:08
6,2023-08,4850,14/04/2023 19:03
6,2023-09,7800,21/04/2023 15:57
6,2023-10,7150,10/04/2023 08:33
6,2023-11,6500,15/04/2023 16:02
6,2023-12,4550,02/04/2023 13:03
6,2024-01,8100,21/04/2023 19:28
6,2024-02,7450,05/04/2023 16:51
6,2024-03,7150,03/04/2023 15:41
6,2024-04,6800,05/04/2024 10:39
6,2024-05,6800,01/04/2024 11:53
6,2024-06,7150,13/04/2024 09:58
6,2024-07,6450,12/04/2024 18:11
6,2024-08,5100,02/04/2024 20:21
6,2024-09,8150,16/04/2024 19:49
6,2024-10,7500,06/04/2024 19:40
6,2024-11,6800,02/04/2024 17:24
6,2024-12,4750,10/04/2024 18:17
6,2025-01,8500,18/04/2024 09:25
6,2025-02,7850,15/04/2024 20:26
6,2025-03,7500,13/04/2024 10:26
6,2025-04,7150,19/04/2025 20:25
6,2025-05,7150,15/04/2025 17:35
6,2025-06,7500,06/04/2025 09:30
6,2025-07,6800,19/04/2025 10:31
6,2025-08,5350,07/04/2025 07:12
6,2025-09,8600,16/04/2025 08:11
6,2025-10,7850,04/04/2025 16:46
6,2025-11,7150,13/04/2025 08:44
6,2025-12,5000,03/04/2025 17:13
6,2026-01,8950,07/04/2025 20:06
6,2026-02,8250,21/04/2025 15:07
6,2026-03,7850,11/04/2025 20:23
6,2026-04,7500,01/04/2026 07:24
6,2026-05,7500,13/04/2026 12:23
6,2026-06,7900,17/04/2026 13:28
6,2026-07,7150,10/04/2026 16:54
6,2026-08,5650,17/04/2026 17:22
6,2026-09,9000,06/04/2026 18:53
7,2023-04,9250,02/04/2023 14:29
7,2023-05,9250,20/04/2023 10:02
7,2023-06,9750,07/04/2023 17:28
7,2023-07,8800,16/04/2023 18:12
7,2023-08,6950,07/04/2023 16:17
7,2023-09,11100,07/04/2023 09:15
7,2023-10,10200,10/04/2023 18:52
7,2023-11,9250,06/04/2023 16:41
7,2023-12,6500,21/04/2023 15:59
7,2024-01,11600,15/04/2023 16:32
7,2024-02,10650,04/04/2023 13:43
7,2024-03,10200,17/04/2023 16:04
7,2024-04,9750,18/04/2024 19:58
7,2024-05,9750,02/04/2024 15:49
7,2024-06,10200,13/04/2024 07:46
