doc_no,doc_type,placement_ref,doc_date,net_amount,currency,modified_at
INV-100001,INV,PL-000001,19/01/2023,9554.6,EUR,20/01/2023 15:19
INV-100002,INV,PL-000002,28/11/2022,17548.0,GBP,30/11/2022 09:59
INV-100003,INV,PL-000003,03/01/2023,23345.4,CHF,03/01/2023 07:55
INV-100004,INV,PL-000004,13/12/2022,15910.3,CHF,14/12/2022 18:27
CRN-200001,CRN,PL-000004,05/02/2023,7955.15,CHF,06/02/2023 15:30
INV-100005,INV,PL-000005,03/01/2023,28566.0,USD,03/01/2023 18:18
INV-100006,INV,PL-000006,15/12/2022,129927.6,HKD,17/12/2022 20:30
INV-100007,INV,PL-000007,29/01/2023,32986.8,SGD,30/01/2023 07:57
INV-100008,INV,PL-000008,09/12/2022,27974.4,USD,11/12/2022 16:17
CRN-200002,CRN,PL-000008,27/01/2023,13987.2,USD,28/01/2023 09:07
INV-100009,INV,PL-000009,07/01/2023,15248.4,GBP,08/01/2023 08:49
INV-100010,INV,PL-000010,20/01/2023,23033.6,GBP,22/01/2023 15:01
INV-100011,INV,PL-000011,13/01/2023,164155.8,HKD,13/01/2023 17:39
INV-100012,INV,PL-000012,15/01/2023,16895.2,GBP,16/01/2023 12:56
INV-100013,INV,PL-000013,19/12/2022,14871.6,EUR,20/12/2022 10:02
INV-100014,INV,PL-000014,10/01/2023,34546.4,SGD,12/01/2023 18:00
INV-100015,INV,PL-000015,22/12/2022,8883.1,GBP,24/12/2022 09:20
INV-100016,INV,PL-000016,14/01/2023,13320.9,EUR,14/01/2023 12:11
INV-100017,INV,PL-000017,09/01/2023,12415.0,EUR,10/01/2023 20:02
INV-100018,INV,PL-000018,26/12/2022,13204.2,EUR,28/12/2022 12:42
INV-100019,INV,PL-000019,22/01/2023,17856.8,EUR,23/01/2023 20:57
INV-100020,INV,PL-000020,22/01/2023,29565.7,MYR,22/01/2023 12:16
INV-100021,INV,PL-000021,26/12/2022,14985.0,GBP,27/12/2022 10:35
INV-100022,INV,PL-000022,14/01/2023,30139.5,USD,14/01/2023 17:32
INV-100023,INV,PL-000023,05/02/2023,17334.5,GBP,07/02/2023 13:35
INV-100024,INV,PL-000024,06/02/2023,19926.0,USD,06/02/2023 12:36
INV-100025,INV,PL-000025,01/01/2023,17474.4,GBP,03/01/2023 18:33
INV-100026,INV,PL-000026,01/02/2023,12108.9,GBP,03/02/2023 09:23
